rank,hashtag,posts,views,country,day,timeScriptWasExecuted
1,# halloween,4000.0,22.1,Germany,2023-01-27,16:21:41.055998
2,# panzer,756.0,11000000.0,Germany,2023-01-27,16:21:41.055998
3,# kimmich,422.0,3.9,Germany,2023-01-27,16:21:41.055998
4,# covergirl,464.0,2.5,Germany,2023-01-27,16:21:41.055998
5,# mascara,351.0,7000000.0,Germany,2023-01-27,16:21:41.055998
6,# aliusta,228.0,29.9,Germany,2023-01-27,16:21:41.055998
7,# leopard,347.0,4.7,Germany,2023-01-27,16:21:41.055998
8,# komet,668.0,7000000.0,Germany,2023-01-27,16:21:41.055998
9,# scholz,563.0,7000000.0,Germany,2023-01-27,16:21:41.055998
10,# cantacondaniele,32.0,1.3,Germany,2023-01-27,16:21:41.055998
11,# soldierpoetking,204.0,3.5,Germany,2023-01-27,16:21:41.055998
12,# lune,282.0,7.2,Germany,2023-01-27,16:21:41.055998
13,# nowar,302.0,2.4,Germany,2023-01-27,16:21:41.055998
14,# olafscholz,377.0,9.1,Germany,2023-01-27,16:21:41.055998
15,# leopard2,236.0,3.7,Germany,2023-01-27,16:21:41.055998
1,# snow,49000.0,167000000.0,United States,2023-01-27,16:28:24.859938
2,# horrify,21.7,37.9,United States,2023-01-27,16:28:24.859938
3,# snowday,16.2,30.3,United States,2023-01-27,16:28:24.859938
4,# mascara,13.5,83.8,United States,2023-01-27,16:28:24.859938
5,# soldierpoetking,4.5,26.2,United States,2023-01-27,16:28:24.859938
6,# poet,5.5,23.7,United States,2023-01-27,16:28:24.859938
7,# mascaratrend,3.3,16.7,United States,2023-01-27,16:28:24.859938
8,# soldier,3.2,40.5,United States,2023-01-27,16:28:24.859938
9,# mikaylanogueira,864.0,25.6,United States,2023-01-27,16:28:24.859938
10,# enkyboys,713.0,13.3,United States,2023-01-27,16:28:24.859938
11,# humpday,3.8,7000000.0,United States,2023-01-27,16:28:24.859938
12,# keithlee,1.6,31.1,United States,2023-01-27,16:28:24.859938
